Nimi;Name;longitude;latitude
Hanasaari;Hanasaari;24.840319;60.16582
Keilalahti;Keilalahti;24.827467;60.171524
Westendinasema;Westendinasema;24.805758;60.168266
Golfpolku;Golfpolku;24.796136;60.168143
Revontulentie;Revontulentie;24.802938;60.171551
Sateentie;Sateentie;24.810688;60.173424
Hakalehto;Hakalehto;24.79139;60.173567
Oravannahkatori;Oravannahkatori;24.792559;60.175769
Länsituuli;Länsituuli;24.802049;60.175358
Tuulimäki;Tuulimäki;24.806051;60.174144
Tapionaukio;Tapionaukio;24.805825;60.176168
Kulttuuriaukio;Kulttuuriaukio;24.803942;60.177588
Ahertajantie;Ahertajantie;24.797984;60.17875
Mäntyviita;Mäntyviita;24.810974;60.178702
Otsolahti;Otsolahti;24.817423;60.178655
Keilaniemi (M);Keilaniemi (M);24.82895;60.175233
Keilaranta;Keilaranta;24.835132;60.178762
Betonimies;Betonimies;24.831804;60.180027
Tekniikantie;Tekniikantie;24.824747;60.180806
Innopoli;Innopoli;24.81422;60.185096
Hagalundinpuisto;Hagalundsparken;24.817403;60.18363
Aalto-yliopisto (M), Tietot;Aalto University (M), Tietotie;24.820099;60.184987
Aalto-yliopisto (M), Korkea;Aalto University (M), Korkeakoulua;24.826671;60.184312
Otaranta;Otaranta;24.837133;60.18483
Sähkömies;Sähkömies;24.829985;60.188499
Jämeräntaival;Jämeräntaival;24.835033;60.188118
Maarinranta;Maarinranta;24.810193;60.187529
Tietäjä;Tietäjä;24.807083;60.189143
Metsänneidonpolku;Metsänneidonpolku;24.806152;60.186731
Kalevalantie;Kalevalantie;24.804022;60.184765
Louhentori;Louhentori;24.796959;60.18715
Pohjankulma;Pohjankulma;24.794014;60.18288
Koivu-Mankkaa;Koivu-Mankkaa;24.78576;60.182976
Mankkaanlaaksontie;Mankkaanlaaksontie;24.780478;60.188706
Mankkaanaukio;Mankkaanaukio;24.769021;60.194599
Tapiolan urheilupuisto;Tapiola Sports Park;24.784654;60.177749
Urheilupuisto (M);Sports Park (M);24.779428;60.17465
Tontunmäentie;Tontunmäentie;24.769667;60.176107
Olarinluoma;Olarinluoma;24.760606;60.180848
Niittymaa;Niittymaa;24.775913;60.171127
Niittykumpu (M);Niittykumpu (M);24.763184;60.170758
Haukilahdenkatu;Haukilahdenkatu;24.772708;60.166481
Haukilahdenaukio;Haukilahdenaukio;24.775882;60.162396
Hauenkallio;Hauenkallio;24.767831;60.162477
Haukilahdenranta;Haukilahdenranta;24.769864;60.158048
Mellstenintie;Mellstenintie;24.773993;60.154941
Toppelundintie;Toppelundintie;24.782477;60.1591405
Westendintie;Westendintie;24.791754;60.158194
Toppelundinportti;Toppelundinportti;24.7848628;60.1624471
Linnakepolku;Linnakepolku;24.790132;60.1637
Nokkala;Nokkala;24.754344;60.147974
Matinlahdenranta;Matinlahdenranta;24.754196;60.151041
Nuottaniementie;Nuottaniementie;24.741546;60.147921
Sepetlahdentie;Sepetlahdentie;24.741234;60.152343
Matinkartanontie;Matinkartanontie;24.752489;60.156258
Matinkyläntie;Matinkyläntie;24.744978;60.155689
Tiistiläntie;Tiistiläntie;24.737664;60.156755
Tiistinkallio;Tiistinkallio;24.729112;60.153737
Etuniementie;Etuniementie;24.724835;60.160645
Hauenkalliontie;Hauenkalliontie;24.756272;60.161138
Nelikkotie;Nelikkotie;24.74663;60.161588
Suomenlahdentie;Suomenlahdentie;24.741294;60.160015
Piispansilta;Piispansilta;24.738416;60.162403
Piispanportti;Piispanportti;24.732688;60.165603
Friisilänaukio;Friisilänaukio;24.721367;60.162842
Avaruuskatu;Avaruuskatu;24.724908;60.168971
Kuunkatu;Kuunkatu;24.726025;60.172673
Ruomelantie;Ruomelantie;24.729314;60.174524
